artist_name,artist_id,genre_name,genre_id,sub_genre_name,sub_genre_id,Genre
Paul McCartney,K8vZ9171uq0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Paul McCartney,K8vZ9171uq0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Imagine Dragons,K8vZ917GSz7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Imagine Dragons,K8vZ917GSz7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Imagine Dragons,K8vZ917GSz7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Imagine Dragons,K8vZ917GSz7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Elyanna,K8vZ917hm7f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Elyanna,K8vZ917hm7f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Martín,K8vZ917jskV,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Martín,K8vZ917jskV,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Kadec Santa Ana,K8vZ917hKfV,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Kadec Santa Ana,K8vZ917hKfV,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Kadec Santa Ana,K8vZ917hKfV,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Kadec Santa Ana,K8vZ917hKfV,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Lucha Libre Mexicana,K8vZ917GeDV,Wrestling,KnvZfZ7vAAk,Wrestling,KZazBEonSMnZfZ7vFna,Wrestling
Lucha Libre Mexicana,K8vZ917GeDV,Wrestling,KnvZfZ7vAAk,Wrestling,KZazBEonSMnZfZ7vFna,Wrestling
J. Bernardt,K8vZ9174Yp7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Griff,K8vZ917bRsf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
J. Bernardt,K8vZ9174Yp7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Griff,K8vZ917bRsf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Matinee Gold,K8vZ917hTg7,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Rebeka Brown,K8vZ917q-PV,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Taito Tikaro,K8vZ917q-P0,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Andre Vicenzzo,K8vZ917qx1f,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Lydia Sanz,K8vZ917qx10,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Flavio Zarza,K8vZ917qx1V,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Iordee,K8vZ917q-J7,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
J Louis,K8vZ917qx57,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
John Williams,K8vZ917o-aV,Classical,KnvZfZ7vAeJ,Classical/Vocal,KZazBEonSMnZfZ7vF1A,Classical/Vocal
ROLE MODEL,K8vZ917be9f,Alternative,KnvZfZ7vAvv,Alternative Rock,KZazBEonSMnZfZ7vAvn,Alternative Rock
ROLE MODEL,K8vZ917be9f,Alternative,KnvZfZ7vAvv,Alternative Rock,KZazBEonSMnZfZ7vAvn,Alternative Rock
Andrés Koi,K8vZ917jSFf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Rod Stewart,K8vZ917135f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Andrés Koi,K8vZ917jSFf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Rod Stewart,K8vZ917135f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Jay Wheeler,K8vZ917_hEf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Black Eyed Peas,K8vZ9171hUV,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Christmas by Starlite,K8vZ917hgxV,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Taburete,K8vZ9174lO7,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Christmas by Starlite,K8vZ917hgxV,Other,KnvZfZ7vAe6,Other,KZazBEonSMnZfZ7v6JI,Other
Maria Becerra,K8vZ917_W80,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Maria Becerra,K8vZ917_W80,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Paula Cendejas,K8vZ917_EUf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Paula Cendejas,K8vZ917_EUf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Milo J,K8vZ917hrZ0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Milo J,K8vZ917hrZ0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Spencer Sutherland,K8vZ917oN2V,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Spencer Sutherland,K8vZ917oN2V,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Katherine Ryan,K8vZ917CJ3f,Comedy,KnvZfZ7vAe1,Comedy,KZazBEonSMnZfZ7vF17,Comedy
Polo & Pan,K8vZ917pL1f,Dance/Electronic,KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7vA1E,Dance/Electronic
Slimane,K8vZ9174j7V,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Polo & Pan,K8vZ917pL1f,Dance/Electronic,KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7vA1E,Dance/Electronic
Omar Rudberg,K8vZ9179sF7,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Paula Cendejas,K8vZ917_EUf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Franz Ferdinand,K8vZ9175PN0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Omar Rudberg,K8vZ9179sF7,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Kikuo,K8vZ917jQu0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Franz Ferdinand,K8vZ9175PN0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Franz Ferdinand,K8vZ9175PN0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Matt Hansen,K8vZ917QghV,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Paula Cendejas,K8vZ917_EUf,Hip-Hop/Rap,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap
Paula Cendejas,K8vZ917_EUf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Rels B,K8vZ917pfHf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
almost monday,K8vZ917bktV,Alternative,KnvZfZ7vAvv,Alternative Rock,KZazBEonSMnZfZ7vAvn,Alternative Rock
almost monday,K8vZ917bktV,Alternative,KnvZfZ7vAvv,Alternative Rock,KZazBEonSMnZfZ7vAvn,Alternative Rock
Paula Cendejas,K8vZ917_EUf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Lawrence,K8vZ917Kmwf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
almost monday,K8vZ917bktV,Alternative,KnvZfZ7vAvv,Alternative Rock,KZazBEonSMnZfZ7vAvn,Alternative Rock
almost monday,K8vZ917bktV,Alternative,KnvZfZ7vAvv,Alternative Rock,KZazBEonSMnZfZ7vAvn,Alternative Rock
Alec Benjamin,K8vZ9174ZZ0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Alec Benjamin,K8vZ9174ZZ0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Alan Walker,K8vZ917fQVV,Dance/Electronic,KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7vA1E,Dance/Electronic
Rels B,K8vZ917pfHf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
aespa,K8vZ917QQn7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Anastacia,K8vZ9175n0f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Anastacia,K8vZ9175n0f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
aespa,K8vZ917QQn7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Anastacia,K8vZ9175n0f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Anastacia,K8vZ9175n0f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Anastacia,K8vZ9175n0f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Anastacia,K8vZ9175n0f,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Nemo,K8vZ917j2I7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Nemo,K8vZ917j2I7,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Gavin James,K8vZ91780nf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Gavin James,K8vZ91780nf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
FINAL FANTASY VII REBIRTH Orchestra World Tour,K8vZ917jOcf,Other,KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Morad,K8vZ917_HH0,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Baby Lasagna,K8vZ917jYR7,Rock,KnvZfZ7vAeA,Hard Rock,KZazBEonSMnZfZ7v6kl,Hard Rock
Lenny Kravitz,K8vZ91712uf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Lenny Kravitz,K8vZ91712uf,Rock,KnvZfZ7vAeA,Pop,KZazBEonSMnZfZ7v6F1,Rock/Pop
Cirque du Soleil : Corteo,K8vZ9175U3f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
Cirque du Soleil,K8vZ9171o7f,Family,KnvZfZ7vA1n,Other,KZazBEonSMnZfZ7vaav,Family
